sku,attribute_set_code,unit_per_pack,product_type,name,weight,product_online,visibility,price,base_image,created_at,qty,parent_sku,brand,color,cost,flavor,manufacturer,nicotine_level,puff_counts,reg_category,volume,pack_size,canonical_name,single_product_sku,original_qty
DLOMYP500515,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Black Mint,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | black mint,,0
DLOMYP500515,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Black Mint,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | black mint,,0
DLOMYP500515,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Black Mint,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | black mint,,0
DLOMYP500516,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Spearmint,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | spearmint,,0
DLOMYP500516,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Spearmint,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | spearmint,,0
DLOMYP500516,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Spearmint,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | spearmint,,0
DLOMYP500517,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Watermelon Lemon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | watermelon lemon,,0
DLOMYP500517,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Watermelon Lemon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | watermelon lemon,,0
DLOMYP500517,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Watermelon Lemon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | watermelon lemon,,0
DLOMYP500518,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Peach Mango Watermelon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | peach mango watermelon,,0
