default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DLOMYP500518,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon,Disposables,99.95,81.0,goods,0,Peach Mango Watermelon,,50mg,10
DLOMYP500518,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon,Disposables,99.95,81.0,goods,0,Peach Mango Watermelon,,50mg,10
DLOMYP500519,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue,Disposables,99.95,81.0,goods,0,Mad Blue,,50mg,10
DLOMYP500519,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue,Disposables,99.95,81.0,goods,0,Mad Blue,,50mg,10
DLOMYP500519,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue,Disposables,99.95,81.0,goods,0,Mad Blue,,50mg,10
DLOMYP500520,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade,Disposables,99.95,81.0,goods,0,Cherry Peach Lemonade,,50mg,10
DLOMYP500520,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade,Disposables,99.95,81.0,goods,0,Cherry Peach Lemonade,,50mg,10
DLOMYP500520,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade,Disposables,99.95,81.0,goods,0,Cherry Peach Lemonade,,50mg,10
DLOMYP500521,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Cola,Disposables,99.95,81.0,goods,0,Cherry Cola,,50mg,10
DLOMYP500521,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Cola,Disposables,99.95,81.0,goods,0,Cherry Cola,,50mg,10
DLOMYP500521,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Cola,Disposables,99.95,81.0,goods,0,Cherry Cola,,50mg,10
