SKU,Name,Price,Cost,Quantity,UPC,Weight,Volume,Nicotine_Level,Flavor,Unit_Per_Pack,Location_1,Qty_1
DPFBAP500006,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pineapple Lemonade",47.25,35.00,0,,,,,,,Z,0
DPFBAP500011,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Watermelon",40.50,30.00,0,,,,,,,Z,0
DLURGP500004,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Cool Mint",55.35,41.00,0,,,,,,,Z,0
DLURGP500006,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Filipino Mango",57.38,42.50,0,,,,,,,Z,0
DLURGP500010,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Ice",57.38,42.50,0,,,,,,,Z,0
DLURGP500012,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Strawberry Ice",57.38,42.00,0,,,,,,,Z,0
DPFPLP500042,"Puff Plus Disposable Vape - Pack of 10 - Watermelon",65.00,42.50,0,,,,,,,Z,0
DPFPLP500031,"Puff Plus Disposable Vape - Pack of 10 - Peach Ice",65.00,42.50,0,,,,,,,Z,0
DPFPLP500001,"Puff Plus Disposable Vape - Pack of 10 - Aloe Grape",53.33,57.50,0,,,,,,,Z,0
DPFPLP500041,"Puff Plus Disposable Vape - Pack of 10 - Tangerine Ice",65.00,57.50,0,,,,,,,Z,0
BHOHMP000001,"Hohm Tech Hohm Life 18650 3015mAh 22.1A (2 Pack)",14.85,11.45,0,,,,,,,Z,0
DPFBAP500002,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cucumber",47.25,35.00,0,,,,,,,Z,0
COIL20,"SMOK Nfix Replacement Pods 3 Pack - Meshed 0.8ohm",5.74,4.40,0,,,,,,,Z,0
COIL40,"VooPoo UForce Coils 5 Pack - N1 0.13hom (Single Mesh)",11.52,7.10,0,,,,,,,Z,0
COIL26,"SMOK Nord Coils 5 Pack - Regular DC Coil - 0.6ohm",8.99,6.30,0,,,,,,,Z,0
COIL21,"Falcon Coils 3 Pack - M1 Mesh 0.15ohm",8.38,6.20,0,,,,,,,Z,0
DPFPLP500028,"Puff Plus Disposable Vape - Pack of 10 - Mixed Berry",77.63,57.50,0,,,,,,,Z,0
DPFPLP500040,"Puff Plus Disposable Vape - Pack of 10 - Strawberry Watermelon",65.00,42.50,0,,,,,,,Z,0
"3-Ply Surgical Face Mask Level 2 - 20 Pack","3-Ply Surgical Face Mask Level 2 - 20 Pack",17.50,0.00,500,,,,,,,Z,500
"3-Ply Surgical Face Mask Level 2 - 100 Pack","3-Ply Surgical Face Mask Level 2 - 100 Pack",47.50,0.00,0,,,,,,,Z,0
BBCETP000002,"Blackcell Electron 18650 Battery 2-Pack",9.23,7.50,0,,,,,,,Z,0
BBCPTP000001,"Blackcell Proton 18650 Single Battery",5.99,4.50,0,,,,,,,Z,0
"Antibacterial Hand Sanitizer 60ML - 20 Bottles","Antibacterial Hand Sanitizer 60ML - 20 Bottles",73.65,0.00,1000,,,,,,,Z,1000
"Antibacterial Hand Sanitizer 60ML - 40 Bottles","Antibacterial Hand Sanitizer 60ML - 40 Bottles",143.76,0.00,1000,,,,,,,Z,1000
PSMRPP000001,"SMOK RPM Coils 5 Pack - Mesh 0.4ohm",9.75,6.25,0,,,,,,,Z,0
COIL03,"Lost Vape Orion Plus Pod Set",4.99,4.00,0,,,,,,,Z,0
BACKROOM,"Aqua Salts Rainbow Drop Salt-50mg",6.75,5.00,0,,,,,,,Z,0
DPFBAP500004,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Mango",40.50,30.00,0,,,,,,,Z,0
DPFPLP500021,"Puff Plus Disposable Vape - Pack of 10 - Guava Ice",77.63,57.50,0,,,,,,,Z,0
COIL42,"VooPoo PnP Coils 5 Pack - PnP-VM1 Vinci 0.3ohm",10.21,7.30,0,,,,,,,Z,0
DPFBAP500010,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pink Lemonade",40.50,30.00,0,,,,,,,Z,0
JINVAS502001,"Innevape Salt 30ML - 50mg - Heisenberg Menthol",7.43,5.30,0,,,,,,,Z,0
DPFBAP500001,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Blueberry Ice",47.25,30.00,0,,,,,,,Z,0
DPFBAP500009,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Clear",40.50,30.00,0,,,,,,,Z,0
