SKU,Name,Cost,Quantity
DABDMP500012,"Air Bar Diamond Disposable 10-Pack - 5% - Pineapple Ice",30.00,0
DABDMP500015,"Air Bar Diamond Disposable 10-Pack - 5% - Strawberry Watermelon",30.00,0
"Yami Vapor 100ml-  Ninja Man 0mg","Yami Vapor 100ml-  Ninja Man 0mg",6.00,0
"Yami Vapor 100ml-  Ninja Man 3mg","Yami Vapor 100ml-  Ninja Man 3mg",6.00,0
"Yami Vapor 100ml-  Ninja Man 6mg","Yami Vapor 100ml-  Ninja Man 6mg",6.00,0
COIL12,"CoilMaster Organic Cotton 5 Pack",5.30,0
COIL16,"Vaporesso GTM Coils - GTM 2 Coil 0.4Ohm",4.90,0
DABDMP500011,"Air Bar Diamond Disposable 10-Pack - 5% - Peach",30.00,0
DABDMP500010,"Air Bar Diamond Disposable 10-Pack - 5% - Mango Strawberry",30.00,0
GGVZDS000001,"Geekvape Zeus Tank Replacement Glass 1pc",1.10,0
COIL15,"Vaporesso GTM Coils - GTM 8 Coil 0.15Ohm",7.30,0
PJUULP500001,"Juul Pods 4-Pack - 5% - Classic Menthol",9.75,0
PJUULP500002,"Juul Pods 4-Pack - 5% - Virginia Tobacco",9.81,0
BSAMSP000004,"Samsung 30T 3000mAh 21700 Battery 2 Pack",9.20,0
DHYEDP50007,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Honeydew Punch",55.00,0
DHYEDP50013,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Pink Lemonade",55.00,0
DHYEDP50011,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Pineapple Ice",57.00,0
DHYEDP50016,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Spearmint",52.50,0
DHYEDP50009,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Peach Mango Watermelon",52.50,0
DHYEDP50028,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Blue Razz",52.50,0
DHYEDP50002,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Banana Ice",52.50,0
DHYEDP50004,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Blue Razz Ice",52.50,0
DHYEDP50018,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Strawberry Banana",52.50,0
DHYEDP50001,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Aloe Grape",55.00,0
DHYEDP50008,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Lush Ice",52.50,0
DHYEDP50017,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Strawberry Ice Cream",51.00,0
DLDUAP500006,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - Menthol / Watermelon",69.75,0
DLDUAP500007,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - Orange / Green Apple",42.25,0
DLDUAP500005,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - Cherry Lemonade / Double Berry",42.25,0
DLDUAP500008,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - Strawberry / Watermelon",64.75,0
DLDUAP500003,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - Blue Raspberry / Lemonade",42.25,0
DLDUAP500009,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - White Grape Guava / Watermelon",42.25,0
DLDUAP500001,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - Apple Strawberry Sour Belt / Mango",70.00,0
DLDUAP500010,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - White Peach / Honeydew",42.25,0
DLDUAP500004,"Lush Dual 2500 Puffs TFN Disposable 10 Pack - 5.00% - Blue Slushie Ice / Cotton Candy Ice",70.00,0
COIL48,"Kanger eVod 1000mAh USB Battery - Steel",5.40,0
COIL46,"Kanger eVod Twist VV 1300mAh Battery - Black",11.30,0
COIL47,"Kanger eVod/Pro Tank Coil 5 Pack - 1.5ohm",2.10,0
DABLXP500001,"Air Bar Lux Disposable 10-Pack - 50mg - Aloe Blackcurrant",5.00,0
DABLXP500014,"Air Bar Lux Disposable 10-Pack - 50mg - Cranberry Lemonade ice",42.50,0
DABLXP500024,"Air Bar Lux Disposable 10-Pack - 50mg - Raspberry Grapefruit",42.50,0
DABLXP500034,"Air Bar Lux Disposable 10-Pack - 50mg - Watermelon Apple Ice",42.50,0
DABLXP500015,"Air Bar Lux Disposable 10-Pack - 50mg - Energy Drink",42.50,0
DGEBAP500002,"Geek Bar Disposable 10 Pack - Blueberry Ice",36.50,0
DGEBAP500008,"Geek Bar Disposable 10 Pack - Sweet Strawberry",36.50,0
DGEBAP500004,"Geek Bar Disposable 10 Pack - Mango Ice",36.50,0
DGEBAP500010,"Geek Bar Disposable 10 Pack - Watermelon Ice",36.50,0
DGEBAP500005,"Geek Bar Disposable 10 Pack - Menthol",35.00,0
DGEBAP500007,"Geek Bar Disposable 10 Pack - Sour Apple",36.50,0
DGEBAP500003,"Geek Bar Disposable 10 Pack - Lychee Ice",36.50,0
DGEBAP500001,"Geek Bar Disposable 10 Pack - Banana Ice",36.50,0
DGEBAP500006,"Geek Bar Disposable 10 Pack - Peach Ice",36.50,0
DGEBAP500009,"Geek Bar Disposable 10 Pack - Tobacco",35.00,0
ASAPYP000001,"Sapphyre Nicotine Additive 50 Pack - 0.9mL - Black 20%",35.00,2
ASAPYP000003,"Sapphyre Nicotine Additive 50 Pack - 1.8mL - Red 20%",53.00,4
DABLXP500006,"Air Bar Lux Disposable 10-Pack - 50mg - Blueberry Kiwi Ice",42.50,0
DABLXP500018,"Air Bar Lux Disposable 10-Pack - 50mg - Mix Berries",42.50,0
DABLXP500004,"Air Bar Lux Disposable 10-Pack - 50mg - Banana Shake",45.00,0
DABLXP500011,"Air Bar Lux Disposable 10-Pack - 50mg - Coconut Grove",42.50,0
DABDMP500006,"Air Bar Diamond Disposable 10-Pack - 5% - Cool Mint",30.00,0
DABDMP500002,"Air Bar Diamond Disposable 10-Pack - 5% - Banana Ice",30.00,0
DABLXP500010,"Air Bar Lux Disposable 10-Pack - 50mg - Cherry Pomegranate Ice",42.50,0
HYDCLRPLSADJSTFLW-PINK-50MG-1,"Hyde CE Plus Single Disposable 5mL - 50mg - Pink Lemonade",7.25,102
DABLLS500104,"Air Bar Lux Single Disposable 2.7mL - Banana Shake",0.25,0
DABLLS500107,"Air Bar Lux Single Disposable 2.7mL - Aloe Blackcurrant",0.25,0
DABLXP500032,"Air Bar Lux Disposable 10-Pack - 50mg - Triple Shake",5.00,0
DABLXP500007,"Air Bar Lux Disposable 10-Pack - 50mg - Blueberry Pomegranate Iced",42.50,0
COIL41,"Uwell Aeglos Coils 4 Pack - 0.23ohm",5.80,0
DHYEDP50012,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Pineapple Peach Mango",55.00,0
DABMXP500021,"Suorin Air Bar Max Disposable 10 Pack - 5.00% - Sakura Grape",62.50,0
DABMXP500022,"Suorin Air Bar Max Disposable 10 Pack - 5.00% - Shake Shake",62.50,0
DHYEDP50015,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Sour Apple Ice",52.50,0
ASAPYP000002,"Sapphyre Nicotine Additive 50 Pack - 0.9mL - Blue 10%",35.00,9
DHYEDP50010,"Hyde Edge 1500 Puffs Disposable 10-Pack - 5% - Pina Colada",51.00,0
COIL33,"Lost Vape URSA Pro Pod Tank - 7mL",2.80,4
BSAMSP000005,"Samsung 40T 4000mAh 21700 Battery 2 Pack",11.20,0
COIL17,"Vaporesso EUC Replacement Coil 5 Pack - 0.5 ohms - Clapton",4.10,0
"BACK ROOM","Ignite V15 1500 Puffs Disposable - Blueberry Ice",7.25,0
DPFPLP500017,"Puff Plus Disposable Vape - Pack of 10 - Energy Drink",57.50,0
DPFPLP500036,"Puff Plus Disposable Vape - Pack of 10 - Strawberry Cheesecake",57.50,0
DPFPLP500020,"Puff Plus Disposable Vape - Pack of 10 - Grapefruit Orange",65.00,0
DPFPLP500011,"Puff Plus Disposable Vape - Pack of 10 - Choco Milk",57.50,0
DPFPLP500029,"Puff Plus Disposable Vape - Pack of 10 - Orange Pineapple",57.50,0
DPFPLP500014,"Puff Plus Disposable Vape - Pack of 10 - Coconut Pear Ice",57.50,0
DPFPLP500010,"Puff Plus Disposable Vape - Pack of 10 - Cherry Honeydew",57.50,0
DPFPLP500019,"Puff Plus Disposable Vape - Pack of 10 - Grape Lush",57.50,0
