id,name,product_type,retailer_sku,vendor_sku,price,cost,vendor_name,purchase_name,manage_inventory,quantity_available,in_stock,leadtime_days,backordered_until,vendor_leadtime_days,upc,mpn,other_barcode,price_msrp,price_map,active,dimensions_units,height_dimension,width_dimension,length_dimension,depth_dimension,diameter_dimension,other_dimensions,weight,weight_units,custom_text_1,custom_text_2,custom_text_3
46522448,FREE PROMOTIONAL ITEM-Flum,simple,FREE PROMOTIONAL ITEM-Flum,FREE PROMOTIONAL ITEM-Flum,0.0,0.0,NV01,FREE PROMOTIONAL ITEM-Flum,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
46522449,FREE PROMOTIONAL ITEM-Aloha Sun,simple,FREE PROMOTIONAL ITEM-Aloha Sun,FREE PROMOTIONAL ITEM-Aloha Sun,0.0,0.0,NV01,FREE PROMOTIONAL ITEM-Aloha Sun,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,3.0,,,,
46523162,Elf Bar BC5000 Disposable 10-Pack-Sweet Menthol,simple,DELFBP000019,DELFBP000019,85.0,78.5,NV01,Elf Bar BC5000 Disposable 10-Pack-Sweet Menthol,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
46523163,Elf Bar BC5000 Disposable 10-Pack-Pineapple Coconut Ice,simple,DELFBP000020,DELFBP000020,85.0,78.5,NV01,Elf Bar BC5000 Disposable 10-Pack-Pineapple Coconut Ice,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
46561982,Elf Bar BC5000 Single Disposable-Sweet Menthol,simple,ELFBARBC5000DIS13ML-SWETMNTL,ONT025798,5.0,6.4,__multiple__,ELFB - Elf Bar BC5000 (Dispo) (5000Puff) 5% (13mL) - Sweet Menthol 50mg [Disc.],true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.25,,,,
46561983,Elf Bar BC5000 Puffs Single Disposable-Watermelon Bubble Gum,simple,ELFBARBC5000DIS13ML-WTRBUBLGM,,12.0,1.0,NV01,Elf Bar BC5000 Puffs Single Disposable-Watermelon Bubble Gum,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.25,,,,
46561985,Elf Bar BC5000 Single Disposable-Pineapple Coconut Ice,simple,ELFBARBC5000DIS13ML-PINEAPLE,ONT025800,5.0,6.4,__multiple__,ELFB - Elf Bar BC5000 (Dispo) (5000Puff) 5% (13mL) - Pineapple Coconut Ice 50mg [Disc.],true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.25,,,,
46561989,Elf Bar BC5000 Single Disposable-Mango Peach,simple,ELFBARBC5000DIS13ML-MNGOPCH,ONT025788,5.0,6.4,__multiple__,ELFB - Elf Bar BC5000 (Dispo) (5000Puff) 5% (13mL) - Mango Peach 50mg [Disc.],true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.25,,,,
46561995,Elf Bar BC5000 Single Disposable-Sour Apple,simple,ELFBARBC5000DIS13ML-SOURAPL,ONT025804,5.0,6.4,__multiple__,ELFB - Elf Bar BC5000 (Dispo) (5000Puff) 5% (13mL) - Sour Apple 50mg [Disc.],true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.25,,,,
46616769,Fruitia x Esco Bars Disposable 2500 Puffs 10-Pack-50mg-Lychee Mango,simple,DFRESP50005,DFRESP50005,95.0,67.0,NV01,Fruitia x Esco Bars Disposable 2500 Puffs 10-Pack-50mg-Lychee Mango,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
