default_code,name,categ_id,list_price,standard_price,type,barcode,weight,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size,x_brand,x_resistance
KOPSCS180005,OPMS Silver Kratom Caps-18g-Red Vein Sumatra,All / Alternatives,8.99,3.2,goods,,0.0,0,Red Vein Sumatra,0,0,1,OPMS,
KOPSCS180006,OPMS Silver Kratom Caps-18g-Super Green Borneo,All / Alternatives,8.99,3.2,goods,,0.0,0,Super Green Borneo,0,0,1,OPMS,
KOPSCS180007,OPMS Silver Kratom Caps-18g-White Vein Indo,All / Alternatives,8.99,3.2,goods,,0.0,0,White Vein Indo,0,0,1,OPMS,
KOPSCS360001,OPMS Silver Kratom Caps-36g-Green Vein Maeng Da,All / Alternatives,12.49,4.25,goods,,0.0,0,Green Vein Maeng Da,0,0,1,OPMS,
KOPSCS360002,OPMS Silver Kratom Caps-36g-Green Vein Malaysian,All / Alternatives,12.49,0.0,goods,,0.0,0,Green Vein Malaysian,0,0,1,OPMS,
KOPSCS360003,OPMS Silver Kratom Caps-36g-Green Vein Thai,All / Alternatives,12.49,4.25,goods,,0.0,0,Green Vein Thai,0,0,1,OPMS,
KOPSCS360004,OPMS Silver Kratom Caps-36g-Red Vein Maeng Da,All / Alternatives,12.49,0.0,goods,,0.0,0,Red Vein Maeng Da,0,0,1,OPMS,
KOPSCS360005,OPMS Silver Kratom Caps-36g-Red Vein Sumatra,All / Alternatives,12.49,4.25,goods,,0.0,0,Red Vein Sumatra,0,0,1,OPMS,
KOPSCS360006,OPMS Silver Kratom Caps-36g-Super Green Borneo,All / Alternatives,12.49,4.6,goods,,0.0,0,Super Green Borneo,0,0,1,OPMS,
KOPSCS360007,OPMS Silver Kratom Caps-36g-White Vein Indo,All / Alternatives,12.49,0.0,goods,,0.0,0,White Vein Indo,0,0,1,OPMS,
KOPSCS720001,OPMS Silver Kratom Caps-72g-Green Vein Maeng Da,All / Alternatives,23.99,8.25,goods,,0.0,0,Green Vein Maeng Da,0,0,1,OPMS,
KOPSCS720002,OPMS Silver Kratom Caps-72g-Green Vein Malaysian,All / Alternatives,23.99,0.0,goods,,0.0,0,Green Vein Malaysian,0,0,1,OPMS,
KOPSCS720003,OPMS Silver Kratom Caps-72g-Green Vein Thai,All / Alternatives,23.99,0.0,goods,,0.0,0,Green Vein Thai,0,0,1,OPMS,
KOPSCS720004,OPMS Silver Kratom Caps-72g-Red Vein Maeng Da,All / Alternatives,23.99,0.0,goods,,0.0,0,Red Vein Maeng Da,0,0,1,OPMS,
KOPSCS720005,OPMS Silver Kratom Caps-72g-Red Vein Sumatra,All / Alternatives,23.99,0.0,goods,,0.0,0,Red Vein Sumatra,0,0,1,OPMS,
KOPSCS720006,OPMS Silver Kratom Caps-72g-Super Green Borneo,All / Alternatives,23.99,8.25,goods,,0.0,0,Super Green Borneo,0,0,1,OPMS,
KOPSCS720007,OPMS Silver Kratom Caps-72g-White Vein Indo,All / Alternatives,23.99,0.0,goods,,0.0,0,White Vein Indo,0,0,1,OPMS,
DLVOBP500735,Orion Bar OB-75 7500 Puffs Disposable 10-Pack-BlackCurrant Mixed Berry,All / Disposables,40.0,58.5,goods,6941881805824,0.0,5000,BlackCurrant Mixed Berry,0,0,10,Lost Vape,
DLVOBP500736,Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Blue Razz Honeydew,All / Disposables,40.0,58.5,goods,,0.0,5000,Blue Razz Honeydew,0,0,10,Lost Vape,
DLVOBP500738,Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Chicago Cocktail,All / Disposables,40.0,58.5,goods,6941881805848,0.0,5000,Chicago Cocktail,0,0,10,Lost Vape,
DLVOBP500740,Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Double Apple Ice,All / Disposables,40.0,58.5,goods,6941881805862,28.91,5000,Double Apple Ice,0,0,10,Lost Vape,
DLVOBP500744,Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Passion Fruit Pineapple,All / Disposables,85.0,58.5,goods,6941881805800,0.0,5000,Passion Fruit Pineapple,0,0,10,Lost Vape,
DHOBOP500018,Puff HotBox 7500 Puffs Disposable 5-Pack-Blue Razz Cherry Lime,All / Disposables,52.5,33.0,goods,,0.0,5000,Blue Razz Cherry Lime,0,0,5,The Puff Brands,
DHOBOP500019,Puff HotBox 7500 Puffs Disposable 5-Pack-Fuji Apple Strawberry Nectarine,All / Disposables,52.5,33.0,goods,,0.0,5000,Fuji Apple Strawberry Nectarine,0,0,5,The Puff Brands,
DHOBOP500020,Puff HotBox 7500 Puffs Disposable 5-Pack-Peach Mango Pineapple,All / Disposables,52.5,33.0,goods,,0.0,5000,Peach Mango Pineapple,0,0,5,The Puff Brands,
DHOBOP500022,Puff HotBox 7500 Puffs Disposable 5-Pack-Strawberry Pineapple Coconut,All / Disposables,52.5,33.0,goods,,0.0,5000,Strawberry Pineapple Coconut,0,0,5,The Puff Brands,
DHOBOP500021,Puff HotBox 7500 Puffs Disposable 5-Pack-Strawberry Apple Watermelon,All / Disposables,52.5,33.0,goods,,0.0,5000,Strawberry Apple Watermelon,0,0,5,The Puff Brands,
DALHSP500711,Aloha Sun 7000 Puffs Disposable 10-Pack -Ube-5.0%-15mL,All / Disposables,100.0,50.0,goods,713310631153,27.23,7000,Ube,0,0,10,Aloha Sun,
DALHSP500712,Aloha Sun 7000 Puffs Disposable 10-Pack -Mango Lychee-5.0%-15mL,All / Disposables,100.0,50.0,goods,713310631191,27.23,7000,Mango Lychee,0,0,10,Aloha Sun,
DALHSP500713,Aloha Sun 7000 Puffs Disposable 10-Pack -Redbull Ice-5.0%-15mL,All / Disposables,100.0,50.0,goods,713310631139,27.23,7000,Redbull Ice,0,0,10,Aloha Sun,
DALHSP500714,Aloha Sun 7000 Puffs Disposable 10-Pack -Orange Passion-5.0%-15mL,All / Disposables,100.0,50.0,goods,713310631177,27.23,7000,Orange Passion,0,0,10,Aloha Sun,
DLOMYP400515,Lost Mary OS5000 4% Disposable-10-Pack-Cherry Cola-4%,All / Default,98.99,81.0,goods,6937643597090,27.23,0,Cherry Cola,0,0,10,Lost Mary,
